Station, Latitude, Longitude, Elevation
GHO.NC, 39.0445, -123.5411, 687.0000 
GBL.NC, 39.1171, -123.7088, 144.0000 
GHGB.NC, 39.1275, -122.8235, 858.0000 
GCWB.NC, 39.1300, -123.0765, 1077.0000 
GMR.NC, 39.1332, -123.4679, 370.0000 
GSR.NC, 39.1790, -122.6362, 975.0000 
79666.CE, 39.1853, -123.2109, 193.0000 
GNR.NC, 39.2007, -123.6351, 327.0000 
GWR.NC, 39.2057, -123.3010, 654.0000 
BARR.BK, 39.3048, -123.1975, 264.7000 
GTSB.BK, 39.3117, -122.6035, 1102.4000 
MNDO.BK, 39.3142, -123.7451, 179.4000 
GVA.NC, 39.3736, -123.1280, 586.0000 
79668.CE, 39.3907, -123.3433, 432.0000 
GTC.NC, 39.3994, -123.5553, 369.0000 
79298.CE, 39.4240, -123.8070, 34.0000 
DCMP.BK, 39.4690, -123.3375, 450.0000 
GHM.NC, 39.4955, -122.9310, 1456.0000 
KRK.NC, 39.5632, -123.1837, 1259.0000 
KFP.NC, 39.6389, -123.4251, 768.0000 
KCPB.NC, 39.6863, -123.5824, 1261.0000 
79046.CE, 39.7379, -123.8149, 8.0000 
79036.CE, 39.8070, -123.2464, 425.0000 
KIP.NC, 39.8085, -123.4813, 1359.0000 
B934.PB, 39.8445, -123.6914, 331.0000 
KBN.NC, 39.8924, -123.1951, 1365.0000 
RVIT.BK, 39.9063, -123.3786, 781.8000 
GROB.NC, 39.9168, -122.6708, 1301.0000 
79435.CE, 39.9238, -123.7616, 245.0000 
89688.CE, 40.0331, -124.0769, 28.0000 
LVR.NC, 40.0394, -122.6725, 943.0000 
B933.PB, 40.0600, -123.9690, 268.1000 
KLR.NC, 40.0629, -123.3308, 1025.0000 
1591.NP, 40.1054, -123.7903, 178.0000 
PRDS.BK, 40.1056, -124.0446, 786.5000 
BRIC.BK, 40.1122, -123.8965, 180.5000 
LRB.NC, 40.1432, -122.5577, 308.0000 
LPG.NC, 40.1451, -122.6879, 574.0000 
PETY.BK, 40.1766, -122.7884, 962.0000 
HUNT.BK, 40.1894, -123.1456, 1540.0000 
KMR.NC, 40.2022, -123.7086, 915.0000 
KPR.NC, 40.2196, -124.0573, 450.0000 
B049.PB, 40.2375, -123.8197, 117.0000 
KBU.NC, 40.2455, -123.8532, 577.0000 
B047.PB, 40.2499, -124.1698, 80.0000 
KCO.NC, 40.2567, -124.2660, 892.0000 
B932.PB, 40.2750, -124.2212, 52.0000 
PETL.BK, 40.2884, -124.3426, 49.6000 
GHOP.BK, 40.3064, -123.9780, 1028.9000 
LBP.NC, 40.3167, -122.8819, 1019.0000 
B046.PB, 40.3220, -124.2843, 44.0000 
BLAS.BK, 40.3227, -123.5325, 1679.3000 
89101.CE, 40.3250, -124.2877, 37.0000 
RBOW.BK, 40.3347, -124.1114, 1100.0000 
KPPB.NC, 40.3459, -123.3632, 1738.0000 
KMPB.NC, 40.4172, -124.1208, 938.0000 
KCR.NC, 40.4264, -123.8206, 873.0000 
B045.PB, 40.4360, -123.9965, 29.4000 
DLIK.BK, 40.4554, -122.8942, 1293.0000 
KCT.NC, 40.4756, -124.3375, 378.0000 
B935.PB, 40.4787, -123.5732, 696.7000 
1584.NP, 40.4976, -124.2945, 753.0000 
1584B.NP, 40.4986, -124.2923, 720.0000 
89462.CE, 40.5036, -124.1010, 43.0000 
HAYF.BK, 40.5227, -123.2320, 776.6000 
KCSB.NC, 40.5384, -123.5140, 1658.5000 
BJES.BK, 40.5436, -123.8800, 1050.7000 
1023.NP, 40.5761, -124.2637, 16.0000 
89255.CE, 40.5922, -124.1463, 16.0000 
1586.NP, 40.6442, -124.2207, 38.0000 
LSF.NC, 40.6582, -122.5237, 1042.0000 
KHBB.NC, 40.6599, -123.2197, 1864.0000 
1582.NP, 40.6990, -124.2010, 19.0000 
DMOR.BK, 40.7097, -123.7033, 1305.0000 
KNEE.BK, 40.7152, -123.9011, 892.2000 
1581.NP, 40.7350, -124.2076, 8.0000 
WEAV.BK, 40.7458, -122.9840, 1066.8000 
89781.CE, 40.7834, -124.1435, 35.0000 
JCC.BK, 40.8175, -124.0295, 27.2000 
KHMB.NC, 40.8747, -123.7326, 1501.0000 
1580.NP, 40.8777, -124.0774, 52.0000 
LGP.NC, 40.9123, -122.8295, 1265.0000 
89464.CE, 40.9567, -124.1164, 25.0000 
TRIN.BK, 40.9741, -122.7050, 935.0000 
KTD.NC, 41.0539, -124.1506, 101.0000 
LBK.NC, 41.0838, -122.6673, 1304.0000 
KRP.NC, 41.1577, -124.0233, 813.0000 
GUMB.BK, 41.2130, -122.5094, 1849.8000 
KOM.NC, 41.2787, -123.4531, 1844.0000 
99700.CE, 41.2906, -124.0569, 10.0000 
SCOT.BK, 41.3920, -122.8538, 960.0000 
LPK.NC, 41.4553, -122.5437, 1880.0000 
